year,country,location,tests
1982,France,atmosphere,0
1982,France,underground,10
1982,India,atmosphere,0
1982,India,underground,0
1982,North Korea,atmosphere,0
1982,North Korea,underground,0
1982,Pakistan,atmosphere,0
1982,Pakistan,underground,0
1982,Russia,atmosphere,0
1982,Russia,underground,19
1982,United Kingdom,atmosphere,0
1982,United Kingdom,underground,1
1982,United States,atmosphere,0
1982,United States,underground,18
1983,China,atmosphere,0
1983,China,underground,2
1983,France,atmosphere,0
1983,France,underground,9
1983,India,atmosphere,0
1983,India,underground,0
1983,North Korea,atmosphere,0
1983,North Korea,underground,0
1983,Pakistan,atmosphere,0
1983,Pakistan,underground,0
1983,Russia,atmosphere,0
1983,Russia,underground,25
1983,United Kingdom,atmosphere,0
1983,United Kingdom,underground,1
1983,United States,atmosphere,0
1983,United States,underground,18
1984,China,atmosphere,0
1984,China,underground,2
1984,France,atmosphere,0
1984,France,underground,8
1984,India,atmosphere,0
1984,India,underground,0
1984,North Korea,atmosphere,0
1984,North Korea,underground,0
1984,Pakistan,atmosphere,0
1984,Pakistan,underground,0
1984,Russia,atmosphere,0
1984,Russia,underground,27
1984,United Kingdom,atmosphere,0
1984,United Kingdom,underground,2
1984,United States,atmosphere,0
1984,United States,underground,18
1985,China,atmosphere,0
1985,China,underground,0
1985,France,atmosphere,0
1985,France,underground,8
1985,India,atmosphere,0
1985,India,underground,0
1985,North Korea,atmosphere,0
1985,North Korea,underground,0
1985,Pakistan,atmosphere,0
1985,Pakistan,underground,0
1985,Russia,atmosphere,0
1985,Russia,underground,10
1985,United Kingdom,atmosphere,0
1985,United Kingdom,underground,1
1985,United States,atmosphere,0
1985,United States,underground,17
1986,China,atmosphere,0
1986,China,underground,0
1986,France,atmosphere,0
1986,France,underground,8
1986,India,atmosphere,0
1986,India,underground,0
1986,North Korea,atmosphere,0
1986,North Korea,underground,0
1986,Pakistan,atmosphere,0
1986,Pakistan,underground,0
1986,Russia,atmosphere,0
1986,Russia,underground,0
1986,United Kingdom,atmosphere,0
1986,United Kingdom,underground,1
1986,United States,atmosphere,0
1986,United States,underground,14
1987,China,atmosphere,0
1987,China,underground,1
1987,France,atmosphere,0
1987,France,underground,8
1987,India,atmosphere,0
1987,India,underground,0
1987,North Korea,atmosphere,0
1987,North Korea,underground,0
1987,Pakistan,atmosphere,0
1987,Pakistan,underground,0
1987,Russia,atmosphere,0
1987,Russia,underground,23
1987,United Kingdom,atmosphere,0
1987,United Kingdom,underground,1
1987,United States,atmosphere,0
1987,United States,underground,14
1988,China,atmosphere,0
1988,China,underground,1
1988,France,atmosphere,0
1988,France,underground,8
1988,India,atmosphere,0
1988,India,underground,0
1988,North Korea,atmosphere,0
1988,North Korea,underground,0
1988,Pakistan,atmosphere,0
1988,Pakistan,underground,0
1988,Russia,atmosphere,0
1988,Russia,underground,16
1988,United Kingdom,atmosphere,0
1988,United Kingdom,underground,0
1988,United States,atmosphere,0
1988,United States,underground,15
1989,China,atmosphere,0
1989,China,underground,0
1989,France,atmosphere,0
1989,France,underground,9
